parcel_id,development_match_strength,development_match_quality,development_match_warning,matched_development_area,matched_project_or_area_name,matched_project_type,matched_investment_signal_strength,development_source_url,development_source_title,development_summary,development_match_reason,development_confidence,previous_development_match_strength
07725-02-13-02870,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
63125-91-11-15420,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
99203-92-03-14350,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
23125-02-25-14790,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37800-93-02-09080,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
15125-03-33-05670,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
26825-93-01-08300,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
26825-93-01-07370,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
36525-94-02-01380,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
20300-92-03-05240,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
91225-12-25-41510,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
91236-12-36-50430,Strong Match,High,,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Specific street/corridor overlap: PEORIA,High,Strong Match
43925-03-35-15210,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
99229-92-29-38016,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
29350-03-07-02400,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44250-02-12-14150,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
35900-03-30-15790,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-01560,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
27775-03-36-02105,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
35900-03-30-15590,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
40825-02-13-09510,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
23900-03-27-09230,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
30200-02-26-07080,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25650-03-34-12590,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37050-03-35-12510,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
34300-03-32-15710,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
19650-03-35-06970,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41675-03-35-13900,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37800-93-02-09760,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
53725-02-01-03030,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
10225-93-02-04460,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
02400-03-32-00700,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
12875-94-08-06230,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
79600-84-11-12350,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
29675-03-07-10040,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25200-03-35-07780,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37800-93-02-09990,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25225-03-35-09460,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41650-03-35-13120,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
42675-93-02-14170,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
97424-74-24-21620,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
11225-02-24-03490,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
34600-93-25-02050,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37775-93-03-07050,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
53450-02-01-01960,Strong Match,High,,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Specific street/corridor overlap: PEORIA,High,Strong Match
00575-93-06-00950,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
49800-03-34-14990,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
60513-73-08-70260,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
07410-94-07-23780,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
90212-02-12-25800,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
22100-92-28-02330,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44325-03-36-03990,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25150-03-34-10030,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
09000-92-27-06570,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
46825-03-33-18040,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
43800-93-04-19370,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
36150-93-04-13930,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
78810-84-11-09060,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25050-03-34-03580,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
27775-03-36-02215,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
63725-12-13-01130,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
54675-92-05-05450,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
18550-93-05-13060,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
29775-02-26-05800,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
05075-93-24-08770,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
13775-02-12-01430,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
57370-72-13-63370,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
91407-14-07-52320,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
19275-03-34-02480,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
17950-92-04-05170,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
62075-91-11-09360,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
17925-92-04-04250,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
06625-92-27-02490,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
45450-94-06-10580,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
17025-02-36-12170,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
40850-02-12-07500,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
56600-92-20-00740,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
04350-02-25-02620,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
06100-02-26-00080,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
91316-13-16-06510,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
08375-03-29-02800,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41100-92-34-03610,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
22200-03-36-00370,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
43775-93-05-22530,Strong Match,High,,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Specific street/corridor overlap: HARVARD,High,Strong Match
74985-94-20-10040,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
85315-72-15-46520,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
11575-03-35-04690,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
12060-94-08-20510,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
98434-84-34-00350,Unknown,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Insufficient overlap data,Low,Unknown
99027-90-27-68130,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
30950-03-33-14960,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
12150-93-11-01280,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
56900-92-20-02220,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
54225-03-06-05290,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
34750-02-26-07380,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
07700-02-13-02200,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
10475-92-08-00680,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
55425-91-07-00270,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
31125-92-27-16750,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
91213-12-13-51390,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
29650-03-07-03370,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
29650-03-07-03310,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
13850-93-05-10530,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
22100-92-28-03130,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
10175-93-02-01530,Strong Match,High,,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Specific street/corridor overlap: 66,High,No Clear Match
27875-92-11-03570,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
45350-94-06-07290,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
78810-84-11-09070,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
20725-93-03-06410,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41025-02-01-00530,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
07225-02-13-00060,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37800-93-02-09000,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
27300-93-14-10790,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
38200-92-26-00840,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
76925-94-19-48280,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
23850-93-15-11970,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
74735-84-06-61950,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
57320-14-33-14860,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
11575-03-35-03730,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
07415-94-07-29470,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
35725-93-31-08440,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
16375-93-03-04910,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
40325-94-17-06480,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
19275-03-34-02810,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44325-03-36-04310,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
15875-02-25-09420,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
04125-93-14-02940,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
17925-92-04-03240,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
49850-92-28-05460,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
31125-92-27-17320,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
98225-82-25-36030,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
04125-93-14-02930,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
12375-92-04-01560,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
62250-91-22-02240,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
04375-92-12-00740,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
27325-93-14-12410,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
98402-84-02-01880,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25050-03-34-06390,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
34375-92-22-05090,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
11600-93-30-07650,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
74850-94-19-17590,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
