parcel_id,property_address,city,state,zip_code,legal_description,bid_cost,previous_investment_category,previous_development_match_strength,previous_development_match_quality,final_development_match_strength,final_matched_development_area,final_matched_project_or_area_name,final_matched_project_type,final_matched_investment_signal_strength,final_development_source_title,final_development_source_url,final_development_summary,final_development_corridor,final_development_relevant_streets,final_development_match_reason,final_development_match_quality,final_development_warning,final_development_confidence,final_match_basis,final_development_geocode_query,weak_match_removed_flag
44225-02-12-10920,5308 N FRANKFORT PL E,Tulsa,OK,Unknown,LT 3 BLK 41,3386.99,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29625-02-36-21010,419 E NEWTON PL N,Tulsa,OK,Unknown,E25 LT 16 & ALL LT 17 & S5 VAC ALLEY ADJ TO NL,3388.99,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
10450-03-19-50550,3128 N TROOST PL E,Tulsa,OK,Unknown,LT 6 BLK 1,3389.11,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
28025-93-11-08980,1942 S 74 AV E,Tulsa,OK,Unknown,LT 7 BLK 8,3392.99,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
37650-02-12-04250,834 E 53 ST N,Tulsa,OK,Unknown,LOT-10-BLK-4,3394.99,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
40825-02-13-08480,4346 N HARTFORD AV E,Tulsa,OK,Unknown,LT 8 BLK 7,3394.99,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29675-03-07-09230,1901 E 50 PL N,Tulsa,OK,Unknown,LT 25 BLK 22,3437.65,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
90201-02-01-25920,502 E 61 ST N,Tulsa,OK,Unknown,E/2 W/2 NW NE SW & E/2 NW NE SW LESS N170 E140,3446.32,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
08450-03-29-03260,2901 E WOODROW ST N,Tulsa,OK,Unknown,LT 4 BLK 1,3456.98,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
07675-02-13-01610,421 E 40 ST N,Tulsa,OK,Unknown,LT 14 BLK 6,3505.64,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-02340,110 W 49 PL N,Tulsa,OK,Unknown,LT 2 BLK 11,3520.98,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
30125-03-28-10360,4117 E XYLER ST N,Tulsa,OK,Unknown,LT 12 BLK 1,3536.03,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-02050,106 W 50 ST N,Tulsa,OK,Unknown,LT 1 BLK 10,3538.05,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
01800-03-35-01450,7569 E OKLAHOMA PL N,Tulsa,OK,Unknown,LT 5 BLK 5,3546.22,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
61475-91-11-02110,526 N WASHINGTON AV E,Sand Springs,OK,Unknown,LT 1 BLK 15,3548.97,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29650-03-07-06110,1354 E 51 ST N,Tulsa,OK,Unknown,LT 10 BLK 9,3567.99,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
40850-02-12-06950,524 E 49 PL N,Tulsa,OK,Unknown,LT 9 BLK 4,3578.85,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
38605-92-05-04540,5145 W 6 ST S,Tulsa,OK,Unknown,W.110 S 1/2 LOT 7 BLK 2,3582.97,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
24200-03-28-06670,1588 N OSWEGO AV E,Tulsa,OK,Unknown,LOT 3 BLK 27,3607.63,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
28975-03-28-09640,3756 E VIRGIN PL N,Tulsa,OK,Unknown,LOT 3 BLK 9,3624.3,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
07675-02-13-01570,4021 N ELGIN AV E,Tulsa,OK,Unknown,LT 11 BLK 6,3624.97,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
22025-03-35-07520,1226 N 67 AV E,Tulsa,OK,Unknown,LT 9 BLK 2,3629.63,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
34750-02-26-08560,15 W ZION ST N,Tulsa,OK,Unknown,LOT-13-BLK-8,3651.63,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
30200-02-26-07150,1902 N DENVER AV W,Tulsa,OK,Unknown,LT 7 BLK 3,3688.29,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
21600-02-35-08590,1348 N MAIN ST W,Tulsa,OK,Unknown,LT 28 BLK 1,3695.33,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
35925-03-30-16670,1745 E WOODROW ST N,Tulsa,OK,Unknown,LT 18 BLK 15,3700.96,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
63700-12-13-00540,118 S BRYAN ST E,City Of Sperry,OK,Unknown,S/2 LT 3 BLK 2,3711.82,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-01080,103 W 49 PL N,Tulsa,OK,Unknown,LT 18 BLK 5,3715.62,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
98224-82-24-37060,919 W MAIN ST N,City Of Jenks,OK,Unknown,PRT NW SE BEG 197W NEC NW SE TH W234 SELY242,3727.8,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
17925-92-04-03330,330 S 43 AV W,Tulsa,OK,Unknown,LOT 6 BLK 3,3745.62,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
00775-02-25-00730,325 E YOUNG PL N,Tulsa,OK,Unknown,E84 LT 8 BLK 4,3819.61,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
41950-02-24-12580,3209 N GARRISON AV E,Tulsa,OK,Unknown,LT 12 BLK 2,3819.61,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
04925-03-35-02930,7107 E NEWTON PL N,Tulsa,OK,Unknown,LT 4 BLK 1,3836.94,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
45600-94-16-00400,2216 S 131 AV E,Tulsa,OK,Unknown,LT 23 BLK 1,3844.67,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44325-03-36-04550,9165 E NEWTON PL N,Tulsa,OK,Unknown,LOT 23 BLK 7,3854.94,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
56625-92-20-01430,3190 S 57 AV W,Tulsa,OK,Unknown,LT 15 BLK B,3901.6,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29650-03-07-05860,1513 E 51 ST N,Tulsa,OK,Unknown,LT 21 BLK 8,3904.27,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
00575-93-06-01170,511 S VICTOR AV E,Tulsa,OK,Unknown,LTS 43 & 44 BLK 8,3910.27,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
20300-92-03-05280,1903 W CAMERON ST N,Tulsa,OK,Unknown,LT 12 BLK 14,3958.93,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
49800-03-34-15300,1145 N CANTON AV E,Tulsa,OK,Unknown,LT 12 BLK 4,3978.26,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
23900-03-27-09360,1532 N KINGSTON PL E,Tulsa,OK,Unknown,LOT-9-BLK-6,3982.26,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
40325-94-17-06900,2519 S 126 AV E,Tulsa,OK,Unknown,LT 29 BLK 4,3988.93,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
02350-03-35-02480,6521 E LATIMER PL N,Tulsa,OK,Unknown,E80 OF S140 LT 3 BLK 1 LESS E5 & S5 FOR ST,3996.66,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
16275-92-05-01670,501 S 57 AV W,Tulsa,OK,Unknown,LT 20,4022.9,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
34300-03-32-14720,152 N DELAWARE AV E,Tulsa,OK,Unknown,LT 3 BLK 3,4028.93,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
49725-03-34-14590,4902 E EASTON ST N,Tulsa,OK,Unknown,LT 11 BLK 2,4040.26,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
07725-02-13-02870,3917 N LANSING AV E,Tulsa,OK,Unknown,LT 34 BLK 10,4067.59,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
63125-91-11-15420,607 N WILSON AV W,Sand Springs,OK,Unknown,LT 11 BLK 8,4068.06,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
99203-92-03-14350,2822 W EASTON ST N,Tulsa,OK,Unknown,BEG 25S & 1230W NEC SE NW TH W53.3 S140 E54.06,4081.97,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
23125-02-25-14790,2016 N NORFOLK AV E,Tulsa,OK,Unknown,LT 3 BLK 3,4116.25,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
37800-93-02-09080,6526 E 5 ST S,Tulsa,OK,Unknown,LT 6 BLK 5,4146.25,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
15125-03-33-05670,1433 N TOLEDO AV E,Tulsa,OK,Unknown,LT 19 BLK 2,4159.58,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
26825-93-01-08300,9126 E 4 ST S,Tulsa,OK,Unknown,LT 14 BLK 10,4163.58,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
26825-93-01-07370,172 S 91 AV E,Tulsa,OK,Unknown,LT 20 BLK 7,4166.25,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
43925-03-35-15210,7311 E KING ST N,Tulsa,OK,Unknown,LT 16 BLK 8,4227.57,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29350-03-07-02400,2131 E 46 ST N,Tulsa,OK,Unknown,LT-9-BLK-1,4235.57,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44250-02-12-14150,710 E 54 PL N,Tulsa,OK,Unknown,LT 9 BLK 51,4235.57,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
35900-03-30-15790,2504 N XANTHUS AV E,Tulsa,OK,Unknown,LT 5BLK 5,4236.24,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-01560,141 W 50 CT N,Tulsa,OK,Unknown,LTS 7 & 8 BLK 7,4239.57,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
40825-02-13-09510,4137 N FRANKFORT AV E,Tulsa,OK,Unknown,LT 35 BLK 9,4244.24,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
23900-03-27-09230,1555 N JOPLIN AV E,Tulsa,OK,Unknown,LT-27-BLK-5,4269.57,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
30200-02-26-07080,1916 N ELWOOD AV W,Tulsa,OK,Unknown,S 2' LT 9 & ALL LT 10 & N 12' LT 11 BLK 2,4269.57,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
25650-03-34-12590,816 N HUDSON AV E,Tulsa,OK,Unknown,LT 8 BLK 4,4278.23,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
37050-03-35-12510,6615 E NEWTON PL N,Tulsa,OK,Unknown,LT 15 BLK 6,4306.72,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
34300-03-32-15710,121 N BIRMINGHAM AV E,Tulsa,OK,Unknown,LT 18 BLK 6,4307.27,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
41675-03-35-13900,7122 E MARSHALL ST N,Tulsa,OK,Unknown,LT 7 BLK 7,4326.35,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
37800-93-02-09760,7111 E 5 PL S,Tulsa,OK,Unknown,LT 15 W 12 1/2 LT 16 BLK 8,4333.7,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
02400-03-32-00700,516 N BIRMINGHAM AV E,Tulsa,OK,Unknown,E9.9 OF LTS 3 & 4 & ALL LTS 5 & 6 BLK 1 SUB OF,4376.22,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
12875-94-08-06230,11804 E 14 ST S,Tulsa,OK,Unknown,W1/2 LT 2 BLK 9 LESS S25 FOR ST,4378.6,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
79600-84-11-12350,412 W GALVESTON ST S,Broken Arrow,OK,Unknown,LTS 18 & 19 BLK 12,4382.22,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
37800-93-02-09990,7107 E 6 ST S,Tulsa,OK,Unknown,LT 14 BLK 9,4406.22,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
25225-03-35-09460,7849 E KING PL N,Tulsa,OK,Unknown,LT 9 BLK 1,4414.22,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
41650-03-35-13120,6923 E MARSHALL PL N,Tulsa,OK,Unknown,LT 17 BLK 2,4414.22,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
42675-93-02-14170,7447 E 1 ST S,Tulsa,OK,Unknown,LT 11 BLK 4,4426.92,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
