final_rank,custom_id,source_list,original_rank,parcel_id,property_address,city,state,bid_cost,legal_description,property_type,source_page,raw_text,extraction_confidence,previous_ai_score,previous_category,previous_recommendation,previous_reasoning_summary,previous_key_risks,previous_confidence_level,prior_geocode_status,prior_latitude,prior_longitude,prior_neighborhood_or_area,prior_crime_risk_level,prior_crime_score,prior_economic_risk_level,prior_economic_strength_score,prior_median_household_income,prior_poverty_rate,prior_median_home_value,prior_vacancy_rate,enrichment_match_method,enrichment_source_file,latitude,longitude,geocode_status,geocode_confidence,geocode_source,geocode_display_name,confirmed_zip_code,neighborhood_or_area,census_tract,block_group,median_household_income,poverty_rate,unemployment_rate,median_home_value,median_gross_rent,vacancy_rate,owner_occupied_rate,economic_source,economic_confidence,economic_strength_score,economic_risk_level,crime_source,crime_data_date_range,crime_incident_count_0_5mi,violent_crime_count_0_5mi,property_crime_count_0_5mi,crime_risk_score,crime_risk_level,crime_confidence,crime_notes,property_clarity_score,geocoding_score,residential_likelihood_score,crime_score,economic_score,bid_price_score,prior_shortlist_score,data_confidence_score,rule_score,rule_category,rule_reasoning,rule_key_risks,manual_due_diligence_priority,ai_score,ai_tier,recommendation,bid_strategy_note,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level,final_score,final_tier
23,C33-29,"$1,000-$1,500",33,41025-02-01-05430,522 E 59 ST N,Tulsa,OK,1273.2,LT 16 BLK 9,R IMP,Unknown,"769 41025-02-01-05430 522 E 59 ST N 7,200 R IMP 1,273.20 363.75 | LT 16 BLK 9 CITY OF TULSA | SUBURBAN HILLS ADDN",High,6.69,Risky / Needs Verification,Drive By,Bid cost 1273.20 for parcel 41025-02-01-05430 at 522 E 59 ST N stays in Manual Review Candidate because crime risk is High and median household income 41493.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 9101,High,1.7,High,4.58,41493.0,0.3846,54200.0,0.1913,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.2387186,-95.9882205,Geocoded,High,Census Geocoder,"522 E 59TH ST N, TULSA, OK, 74126",74126,Tulsa,40143009101,401430091013,41493.0,0.3846,0.1333,54200.0,1091.0,0.1913,0.6125,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.58,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.5,1.7,4.58,9.15,5.85,8.0,6.72,Tier 2 Strong Review,"Bid 1273.20 for 41025-02-01-05430 at 522 E 59 ST N screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.5, crime 1.7, and economics 4.58.",high crime context; weak economic context,High,6.72,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1273.20 for parcel 41025-02-01-05430 at 522 E 59 ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,5.22,Tier 3 Watch
24,C33-01,Manual Review,1,00575-93-06-01170,511 S VICTOR AV E,Tulsa,OK,3910.27,LTS 43 & 44 BLK 8,R IMP,Unknown,Unknown,High,7.0,Strong Manual Review Candidate,Research First,"Parcel 00575-93-06-01170 at 511 S VICTOR AV E shows a low bid cost of 3910.27 and is tagged as R IMP with strong property clarity and complete address, while the development match status is 'No Clear Match' and overall data/extraction confidence is High, making it a solid candidate for deeper manual review but not a confirmed good investment.",ZIP is unknown; no verified development or area-based upside; physical condition and occupancy are unknown; surrounding value and crime risk are unknown despite high data confidence on the core record.,High,Success,36.1536663,-95.9656652,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.1536663,-95.9656652,Success,High,Prior Iteration Coordinates,511 S VICTOR AV E,Unknown,"Tulsa, OK",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unknown,Unknown,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,4.5,4.0,5.0,4.5,3.0,9.5,7.0,5.68,Tier 3 Watch,"Bid 3910.27 for 00575-93-06-01170 at 511 S VICTOR AV E screened with property clarity 9.3, geocoding 4.5, residential likelihood 4.0, crime 5.0, and economics 4.5.",No major red flags beyond normal tax-auction uncertainty.,Medium,5.18,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3910.27 for parcel 00575-93-06-01170 at 511 S VICTOR AV E falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low,5.21,Tier 3 Watch
25,C33-28,"$1,000-$1,500",32,41025-02-01-04710,5901 N GARRISON PL E,Tulsa,OK,1273.2,LT 9 BLK 6,R IMP,Unknown,"762 41025-02-01-04710 5901 N GARRISON PL E 7,200 R IMP 1,273.20 316.50 | LT 9 BLK 6 CITY OF TULSA | SUBURBAN HILLS ADDN",High,6.69,Risky / Needs Verification,Drive By,Bid cost 1273.20 for parcel 41025-02-01-04710 at 5901 N GARRISON PL E stays in Manual Review Candidate because crime risk is High and median household income 41493.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 9101,High,1.7,High,4.58,41493.0,0.3846,54200.0,0.1913,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.2388553,-95.984978,Geocoded,High,Census Geocoder,"5901 N GARRISON PL, TULSA, OK, 74126",74126,Tulsa,40143009101,401430091013,41493.0,0.3846,0.1333,54200.0,1091.0,0.1913,0.6125,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.58,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.0,1.7,4.58,9.15,5.85,8.0,6.65,Tier 2 Strong Review,"Bid 1273.20 for 41025-02-01-04710 at 5901 N GARRISON PL E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.7, and economics 4.58.",high crime context; weak economic context,High,6.65,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1273.20 for parcel 41025-02-01-04710 at 5901 N GARRISON PL E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,5.15,Tier 3 Watch
26,C33-30,"$1,000-$1,500",36,43300-03-29-09940,2311 N ATLANTA AV E,Tulsa,OK,1179.88,LT 29 BK 4,R IMP,Unknown,"802 43300-03-29-09940 2311 N ATLANTA AV E 5,000 R IMP 1,179.88 332.25 | LT 29 BK 4 CITY OF TULSA | TULSA HGTS",High,6.62,Risky / Needs Verification,Drive By,Bid cost 1179.88 for parcel 43300-03-29-09940 at 2311 N ATLANTA AV E stays in Manual Review Candidate because crime risk is High and median household income 36410.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 400,High,1.7,High,4.08,36410.0,0.3705,67500.0,0.12,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.1869583,-95.956435,Geocoded,High,Census Geocoder,"2311 N ATLANTA AVE, TULSA, OK, 74110",74110,Tulsa,40143000400,401430004001,36410.0,0.3705,0.1425,67500.0,882.0,0.12,0.4339,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.08,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.0,1.7,4.08,9.37,5.81,8.0,6.59,Tier 2 Strong Review,"Bid 1179.88 for 43300-03-29-09940 at 2311 N ATLANTA AV E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.7, and economics 4.08.",high crime context; weak economic context,High,6.59,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1179.88 for parcel 43300-03-29-09940 at 2311 N ATLANTA AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,5.09,Tier 3 Watch
27,C33-31,"$1,000-$1,500",38,05850-03-30-04070,1844 N TRENTON AV E,Tulsa,OK,1297.53,LT 22 & S25 VAC UTE ST ON N BLK 8,R HS IMP,Unknown,"82 05850-03-30-04070 1844 N TRENTON AV E 10,500 R HS IMP 1,297.53 332.25 | LT 22 & S25 VAC UTE ST ON N BLK 8 CITY OF TULSA | BULLETTE HGTS 2ND ADDN",High,6.53,Risky / Needs Verification,Drive By,Bid cost 1297.53 for parcel 05850-03-30-04070 at 1844 N TRENTON AV E stays in Manual Review Candidate because crime risk is High and median household income 32356.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 500,High,1.7,High,3.42,32356.0,0.3922,68600.0,0.1871,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.1815139,-95.9700066,Geocoded,High,Census Geocoder,"1844 N TRENTON AVE, TULSA, OK, 74106",74106,Tulsa,40143000500,401430005002,32356.0,0.3922,0.2206,68600.0,745.0,0.1871,0.376,ACS 2024 5-year via Census Reporter API (Tract-level),High,3.42,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.0,1.7,3.42,9.09,5.77,8.0,6.47,Tier 2 Strong Review,"Bid 1297.53 for 05850-03-30-04070 at 1844 N TRENTON AV E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.7, and economics 3.42.",high crime context; weak economic context,High,6.47,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1297.53 for parcel 05850-03-30-04070 at 1844 N TRENTON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,4.97,Tier 3 Watch
28,C33-33,"$900-$1,000",7,44675-92-08-04460,5134 W CHARLES PAGE,Tulsa,OK,907.78,E46.5 LT 6 BLK 2 BV S,R IMP,Unknown,"885 44675-92-08-04460 5134 W CHARLES PAGE 9,400 R IMP 907.78 379.50 | E46.5 LT 6 BLK 2 BV S | VERN SUB AMD CITY OF TULSA",Medium,6.1,Risky / Needs Verification,Drive By,"Parcel 44675-92-08-04460 at 5134 W CHARLES PAGE has a low bid cost of 907.78 and strong property clarity (R IMP, high extraction confidence, good geocode) in a clearly residential census tract. However, the tract shows weak economics (median household income 44,231, high poverty 35.9%, high unemployment 13.6%, low median home value 71,700, and high vacancy 17.5%), and the only crime data is a high-risk, low-confidence city-level proxy for Tulsa. These factors justify keeping it as a Manual Review Candidate rather than an automatic Top 50 pick.","1) High crime risk at the city level with only low-confidence proxy data, no parcel-level incident counts. 2) Weak local economic fundamentals: high poverty (35.9%), high unemployment (13.6%), low median home value (71,700), and elevated vacancy (17.5%), which may limit appreciation and tenant quality. 3) Neighborhood quality and property condition at 5134 W CHARLES PAGE are unknown; R IMP confirms improvement but not habitability or repair costs. 4) Medium geocoding confidence means a small chance of location mismatch within the block. 5) Rental demand and achievable rent are uncertain given the low-value, high-vacancy context.",Medium,Geocoded,Unknown,Unknown,Tulsa Census Tract 8800,High,1.7,High,4.92,44231.0,0.359,71700.0,0.1751,parcel_id,iterations/iteration_10_900_to_1000_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.147961,-96.0500415,Geocoded,Medium,Census Geocoder,"5134 CHARLES PAGE BLVD, TULSA, OK, 74127",74127,Tulsa,40143008800,401430088002,44231.0,0.359,0.136,71700.0,826.0,0.1751,0.4904,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.92,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,9.0,4.0,1.7,4.92,10.0,7.05,7.0,6.65,Tier 2 Strong Review,"Bid 907.78 for 44675-92-08-04460 at 5134 W CHARLES PAGE screened with property clarity 10.0, geocoding 9.0, residential likelihood 4.0, crime 1.7, and economics 4.92.",high crime context; weak economic context,High,6.65,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 907.78 for parcel 44675-92-08-04460 at 5134 W CHARLES PAGE falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,4.9,Tier 3 Watch
29,C33-21,"$1,500-$2,000",43,40850-02-12-07900,517 E 47 PL N,Tulsa,OK,1771.82,LT 19 BLK 7,R IMP,110,"744 40850-02-12-07900 517 E 47 PL N 7,680 R IMP 1,771.82 332.25 | LT 19 BLK 7 CITY OF TULSA | SUBURBAN ACRES THIRD ADDN",High,Unknown,Manual Review Candidate,True,"Bid 1771.82, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.2227632,-95.9885593,Geocoded,High,Census Geocoder,"517 E 47TH PL N, TULSA, OK, 74126",74126,Tulsa,40143007900,401430079002,40233.0,0.3225,0.0824,70700.0,1139.0,0.2813,0.5383,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.92,High,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,10.0,4.5,1.2,4.92,7.99,5.0,7.5,6.52,Tier 2 Strong Review,"Bid 1771.82 for 40850-02-12-07900 at 517 E 47 PL N screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.5, crime 1.2, and economics 4.92.",high crime context; weak economic context,High,6.52,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1771.82 for parcel 40850-02-12-07900 at 517 E 47 PL N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,4.52,Tier 3 Watch
30,C33-18,"$1,500-$2,000",12,40250-03-31-14910,1945 E NEWTON ST N,Tulsa,OK,1613.17,W50 E124 S127.5 LT 42,R IMP,102,"691 40250-03-31-14910 1945 E NEWTON ST N 6,375 R IMP 1,613.17 332.25 | W50 E124 S127.5 LT 42 CITY OF TULSA | SPRINGDALE ACRE LOT ADDN",High,Unknown,Top Candidate,True,"Bid 1613.17, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.1735529,-95.9642494,Geocoded,High,Census Geocoder,"1945 E NEWTON ST, TULSA, OK, 74110",74110,Tulsa,40143001300,401430013002,47612.0,0.3505,0.0998,57800.0,892.0,0.1801,0.6214,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.58,High,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,10.0,4.5,1.2,4.58,8.36,5.0,7.5,6.5,Tier 2 Strong Review,"Bid 1613.17 for 40250-03-31-14910 at 1945 E NEWTON ST N screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.5, crime 1.2, and economics 4.58.",high crime context; weak economic context,High,6.5,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1613.17 for parcel 40250-03-31-14910 at 1945 E NEWTON ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,4.5,Tier 3 Watch
31,C33-22,"$1,500-$2,000",44,40250-03-31-15190,2143 E NEWTON ST N,Tulsa,OK,1778.61,W 50 S 127.5 LT 46,R IMP,103,"693 40250-03-31-15190 2143 E NEWTON ST N 6,400 R IMP 1,778.61 316.50 | W 50 S 127.5 LT 46 CITY OF TULSA | SPRINGDALE ACRE LOT ADDN",High,Unknown,Manual Review Candidate,True,"Bid 1778.61, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.1735545,-95.9616616,Geocoded,High,Census Geocoder,"2143 E NEWTON ST, TULSA, OK, 74110",74110,Tulsa,40143001300,401430013002,47612.0,0.3505,0.0998,57800.0,892.0,0.1801,0.6214,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.58,High,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,10.0,4.5,1.2,4.58,7.97,5.0,7.5,6.46,Tier 2 Strong Review,"Bid 1778.61 for 40250-03-31-15190 at 2143 E NEWTON ST N screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.5, crime 1.2, and economics 4.58.",high crime context; weak economic context,High,6.46,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1778.61 for parcel 40250-03-31-15190 at 2143 E NEWTON ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,4.46,Tier 4 High Risk
32,C33-16,"$1,500-$2,000",2,47175-03-29-18430,1903 N FLORENCE PL E,Tulsa,OK,1549.17,LT-13-BLK-3,R HS IMP,135,"921 47175-03-29-18430 1903 N FLORENCE PL E 7,995 R HS IMP 1,549.17 316.50 | LT-13-BLK-3 CITY OF TULSA | WILKERSON HGTS",High,Unknown,Top Candidate,True,"Bid 1549.17, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.1820988,-95.9431885,Geocoded,High,Census Geocoder,"1903 N FLORENCE PL, TULSA, OK, 74110",74110,Tulsa,40143000400,401430004002,36410.0,0.3705,0.1425,67500.0,882.0,0.12,0.4339,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.08,High,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,10.0,4.0,1.2,4.08,8.5,6.5,7.5,6.44,Tier 2 Strong Review,"Bid 1549.17 for 47175-03-29-18430 at 1903 N FLORENCE PL E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.2, and economics 4.08.",high crime context; weak economic context,High,6.44,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1549.17 for parcel 47175-03-29-18430 at 1903 N FLORENCE PL E falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,4.44,Tier 4 High Risk
33,C33-23,"$1,500-$2,000",46,44675-92-08-04450,5128 W CHARLES PAGE,Tulsa,OK,1783.15,LT 5 BLK 2 BV S,R IMP,130,"884 44675-92-08-04450 5128 W CHARLES PAGE 15,000 R IMP 1,783.15 379.50 | LT 5 BLK 2 BV S | VERN SUB AMD CITY OF TULSA",High,Unknown,Manual Review Candidate,True,"Bid 1783.15, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.1479608,-96.0499839,Geocoded,Medium,Census Geocoder,"5128 CHARLES PAGE BLVD, TULSA, OK, 74127",74127,Tulsa,40143008800,401430088002,44231.0,0.359,0.136,71700.0,826.0,0.1751,0.4904,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.92,High,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,9.0,4.0,1.2,4.92,7.96,5.0,7.0,6.26,Tier 2 Strong Review,"Bid 1783.15 for 44675-92-08-04450 at 5128 W CHARLES PAGE screened with property clarity 10.0, geocoding 9.0, residential likelihood 4.0, crime 1.2, and economics 4.92.",high crime context; weak economic context,High,6.26,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1783.15 for parcel 44675-92-08-04450 at 5128 W CHARLES PAGE falls into Tier 2 Strong Review because crime risk is High and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is High with High confidence.,high crime context; weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,4.01,Tier 4 High Risk
