rank,parcel_id,owner_name,property_address,city,state,zip_code,bid_cost,legal_description,property_type,source_page,extraction_confidence,final_development_match_strength,final_matched_development_area,property_geocode_status,geocode_confidence,corrected_development_match_strength,final_rule_based_score,final_rule_based_category,final_ai_review_score,final_investment_category,final_recommendation,final_reasoning_summary,final_key_risks,final_missing_information,final_next_due_diligence_step,final_confidence_level,user_color_rating,user_rating_meaning,user_rating_source
28,41025-02-01-06510,Unknown,5744 N FRANKFORT AV E,Tulsa,OK,Unknown,3259.67,LT 13 BLK 18,R IMP,114,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 41025-02-01-06510 at 5744 N FRANKFORT AV E has a bid cost of 3259.67 and is supported by high extraction/data confidence and strong property/address clarity, but the development match status is No Clear Match with low confidence, so it is a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",Exact ZIP code; surrounding property value context; crime risk indicators; physical condition of improvements; any liens or title complications beyond tax status.,"Manually confirm the full mailing/ZIP information and local market context for 5744 N FRANKFORT AV E, then pull recent comparable sales/rents and verify title, liens, and property condition to determine if the low bid cost justifies proceeding.",High,Unknown,Unknown,Not provided in input file
29,15500-03-32-04800,Unknown,1313 N DELAWARE AV E,Tulsa,OK,Unknown,3267.45,LT 4 BLK 7,R HS IMP,33,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 15500-03-32-04800 at 1313 N DELAWARE AV E, Tulsa, has high data confidence, complete address, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3267.45 is relatively low, which, combined with clear parcel/address data, justifies deeper manual research. However, the development match is 'No Clear Match' with low confidence, so no development-driven upside is confirmed.",ZIP unknown; no clear or verified development match; surrounding value and crime risk unknown.,Exact ZIP code; surrounding property value context; crime/safety context; property condition and occupancy status; any liens or title complications beyond tax status.,"Manually confirm the precise ZIP and neighborhood context for 1313 N DELAWARE AV E, then pull local sales/value and condition information to assess whether the low bid cost aligns with realistic resale or hold value in the absence of verified development upside.",High,Unknown,Unknown,Not provided in input file
30,05825-03-30-01260,Unknown,2039 N QUAKER AV E,Tulsa,OK,Unknown,3268.33,LT 1 LESS N 5 FOR ST BLK 2,R IMP,12,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 05825-03-30-01260 at 2039 N QUAKER AV E, Tulsa, has a bid cost of 3268.33 and is classified as R IMP with strong property clarity and complete address data. Rule-based scoring (6.9) and high overall data confidence support it as a strong manual review candidate. However, the development match is 'No Clear Match' with low confidence and no distance-based verification, so no development premium should be assumed.","ZIP is unknown, limiting precise neighborhood and value analysis; no verified nearby development or project to support appreciation assumptions; geocode confidence is only medium; surrounding value and crime risk are both unknown.",Exact ZIP code; detailed neighborhood and market context; surrounding property values and rental/sales comps; crime and livability indicators; any liens or title complications beyond the tax status; on-the-ground condition of the improvement.,"Manually confirm the exact ZIP and neighborhood for 2039 N QUAKER AV E, then pull local sales/rent comps and tax/Title records to validate value relative to the 3268.33 bid and check for any additional liens or property condition issues.",High,Unknown,Unknown,Not provided in input file
31,37650-02-12-04530,Unknown,868 E 52 PL N,Tulsa,OK,Unknown,3271.21,LOT-5-BLK-5,R IMP,96,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The rule-based score of 6.9 and category Strong Manual Review Candidate reflect a relatively attractive bid cost of 3271.21 for a residential improvement (R IMP) parcel at 868 E 52 PL N, supported by complete address quality, strong property clarity, and high overall data confidence. However, the development verification shows No Clear Match with low confidence and no distance-based confirmation, so development is not a positive factor. These mixed signals support manual review rather than an automatic buy or rejection.",ZIP is unknown; no verified development or surrounding value signal; crime risk is unknown; geocode confidence is only medium.,Exact ZIP code; any verified nearby development or value comps; crime and neighborhood risk indicators; detailed property condition and improvement specifics beyond R IMP classification.,"Manually confirm the full address and ZIP for 868 E 52 PL N, then check local records or mapping tools for surrounding property values, neighborhood conditions, and any nearby development activity before refining the bid strategy.",High,Unknown,Unknown,Not provided in input file
32,49700-03-34-14030,Unknown,5107 E HASKELL PL N,Tulsa,OK,Unknown,3272.62,LT 10 BLK 1,R IMP,137,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 49700-03-34-14030 at 5107 E HASKELL PL N has a bid cost of 3272.62 and is classified as R IMP with strong property clarity and complete address, but the development match status is No Clear Match and the Final Verified Development Signal is Low. Overall data and extraction confidence are High, supporting a conservative rule-based score of 6.9 and a Strong Manual Review Candidate classification rather than a confirmed investment.","ZIP is unknown; development upside is not verified (No Clear Match, low development confidence); surrounding value and crime risk are unknown.",Exact ZIP code; surrounding property value context; crime risk; physical condition of the improvement; title and lien status beyond tax auction; any local development or zoning changes not captured in the current data.,"Manually confirm the precise ZIP and neighborhood context for 5107 E HASKELL PL N, then check local sales/assessed values and on-the-ground condition to see if the low bid cost of 3272.62 is supported by surrounding values and risk profile.",High,Unknown,Unknown,Not provided in input file
33,32325-92-24-04910,Unknown,1114 E 33 PL S,Tulsa,OK,Unknown,3277.02,E1/2 OF LT 6 BK 2,R HS IMP,85,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 32325-92-24-04910 at 1114 E 33 PL S in Tulsa has a bid cost of 3277.02, high extraction/data confidence, complete address, and strong property clarity, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development match is 'No Clear Match' with low confidence and no distance-based confirmation, so no development premium is justified.",ZIP is unknown; no verified nearby development or named project; geocode confidence only medium; surrounding value and crime risk are unknown.,Exact ZIP code; more precise neighborhood and market context; confirmation of surrounding property values; crime and livability indicators; any verified development or infrastructure projects nearby.,"Manually confirm the exact ZIP and neighborhood for 1114 E 33 PL S, then check local sales/assessed values and any city or county planning documents for evidence of nearby development or infrastructure that could affect value.",High,Unknown,Unknown,Not provided in input file
34,17675-02-24-07570,Unknown,750 E 32 PL N,Tulsa,OK,Unknown,3310.33,LT 36 BLK 4,R IMP,37,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 750 E 32 PL N, Tulsa (ID 17675-02-24-07570) has high data confidence, complete address, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate category. The bid cost of 3310.33 is relatively low for a residential improvement type, which is a positive signal. However, the development verification shows No Clear Match with low confidence, so no external project upside is confirmed, and the ZIP is unknown, adding location uncertainty.","ZIP unknown; no verified nearby development or project tie-in; surrounding value and crime risk are both unknown, limiting context for valuation and risk assessment.",Exact ZIP code; surrounding property value context; crime risk; any confirmed nearby development or infrastructure projects; on-the-ground condition of the residential improvement.,"Manually confirm the precise location and ZIP, then pull local sales/comparable values and neighborhood risk indicators to validate whether the low bid cost for this residential improvement aligns with area norms.",High,Unknown,Unknown,Not provided in input file
35,25500-03-29-06060,Unknown,2625 E TECUMSEH ST N,Tulsa,OK,Unknown,3310.33,W.84 OF LT 1 BLK 5,R IMP,59,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 25500-03-29-06060 at 2625 E TECUMSEH ST N in Tulsa shows a low bid cost of 3310.33 and strong property/address clarity (R IMP, complete address) with High extraction/data confidence, but the development match status is No Clear Match with Low development confidence, so it is scored as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown; owner name is unknown, which may complicate title or redemption research.","Exact ZIP code; surrounding property value context; crime risk; detailed condition of the residential improvement; confirmation of utilities, access, and zoning specifics; any nearby development or revitalization plans not captured in the current data.","Manually confirm the precise location and ZIP via county GIS or mapping, then pull nearby sales/assessed values and any code enforcement or condition reports to determine whether the low bid cost of 3310.33 reflects opportunity or underlying issues.",High,Unknown,Unknown,Not provided in input file
36,44200-02-11-03380,Unknown,4627 N BOSTON AV E,Tulsa,OK,Unknown,3311.0,LT 27 BLK 15,R IMP,123,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-11-03380 at 4627 N BOSTON AV E, Tulsa, shows a low bid cost of 3311.00 and strong property clarity with complete address data, but the development match status is No Clear Match and the development confidence is low. Overall data and extraction confidence are high, supporting a conservative but favorable rule-based score of 6.9 that warrants manual review rather than an automatic investment decision.",ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown; reliance on rule-based scoring without external market validation.,Exact ZIP code; surrounding property value context; crime and neighborhood risk indicators; property condition and occupancy status; any liens or title complications beyond the tax auction; local rental/sales comps.,"Confirm the precise ZIP and neighborhood context, then pull local sales/rental comps and crime data for the immediate area around 4627 N BOSTON AV E to validate whether the low 3311.00 bid cost aligns with acceptable risk and potential returns.",High,Unknown,Unknown,Not provided in input file
37,17675-02-24-08030,Unknown,3130 N HARTFORD PL E,Tulsa,OK,Unknown,3311.0,LT 13 BLK 6,R IMP,37,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 17675-02-24-08030 at 3130 N HARTFORD PL E in Tulsa has high extraction/data confidence, complete address quality, and strong property clarity, supporting a solid rule-based score of 6.9. The bid cost of 3311.00 is flagged as a strong positive signal, justifying manual review. However, the development verification shows No Clear Match with low confidence and no confirmed proximity-based upside, so the property cannot be elevated to a Good Investment category based on development factors.",ZIP is unknown; no verified development or surrounding value signal; crime risk and surrounding value are unknown; development match is No Clear Match with low confidence.,Exact ZIP code; any verified nearby development or value comps; crime risk context; more detailed property characteristics beyond type R IMP.,"Manually confirm the precise ZIP and neighborhood context for 3130 N HARTFORD PL E, then check local value indicators and any nearby projects or improvements to validate whether the low bid cost of 3311.00 aligns with acceptable risk.",High,Unknown,Unknown,Not provided in input file
38,25375-03-29-05240,Unknown,3215 E XYLER ST N,Tulsa,OK,Unknown,3313.8,LT 10 BLK 1,R HS IMP,58,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 25375-03-29-05240 at 3215 E XYLER ST N in Tulsa has a low bid cost of 3313.80 and is classified as R HS IMP with strong property clarity and complete address data. The development match status is No Clear Match with low confidence, so no verified development upside is counted. Overall extraction and data confidence are High, supporting a rule-based score of 6.9 and a Strong Manual Review Candidate classification rather than an automatic investment decision.",ZIP is unknown; no verified development match or surrounding value signal; crime risk is unknown; development confidence is low.,Exact ZIP code; surrounding property value context; crime risk details; physical condition of improvements; any liens or title complications beyond tax status.,"Manually confirm the precise location and ZIP, pull nearby sales/value data for comparable residential parcels, and check county records for condition, structures, and any additional encumbrances before bidding.",High,Unknown,Unknown,Not provided in input file
39,90306-03-06-24020,Unknown,1641 E 56 ST N,Unknown,OK,Unknown,3314.33,TR BEG 161.25 W OF SE COR SW QTR.TH N660W TULSA COUNTY,R IMP,183,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 90306-03-06-24020 at 1641 E 56 ST N has high extraction confidence, complete address quality, and strong property clarity for an R IMP property, with a relatively low bid cost of 3314.33. Rule-based scoring (6.9) and category Strong Manual Review Candidate indicate it merits deeper review, but the development match is No Clear Match with low confidence and distance not verified, so no development premium is justified.","ZIP is unknown; development upside is not verified; surrounding value and crime risk are unknown, increasing uncertainty around long-term value and exit potential.",ZIP code; surrounding property value context; crime risk; detailed property condition; confirmation of any nearby development or infrastructure projects.,"Manually confirm the exact location and ZIP, then pull local sales/comparable values and any available condition or neighborhood data to determine whether the low bid cost of 3314.33 compensates for the lack of verified development upside.",High,Unknown,Unknown,Not provided in input file
40,44250-02-12-15190,Unknown,549 E 54 PL N,Tulsa,OK,Unknown,3327.0,LT 17 BLK 54,R IMP,127,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 44250-02-12-15190 at 549 E 54 PL N, Tulsa, has a low bid cost of 3327.00, complete address, strong property clarity, and high overall data confidence. Rule-based scoring classifies it as a Strong Manual Review Candidate with a 6.9 score. However, development verification shows no clear match and low confidence, so no development premium is assumed.",ZIP unknown; no verified development match; surrounding value and crime risk unknown.,Exact ZIP code; surrounding property value context; crime risk; physical condition and occupancy; title and lien status beyond tax auction; any local development or zoning details not captured in the current data.,"Manually confirm the precise location and ZIP, then pull local comps and neighborhood data for 549 E 54 PL N, and check county records for liens, code violations, and zoning/land-use constraints before bidding.",High,Unknown,Unknown,Not provided in input file
41,53825-02-02-01310,Unknown,7 E 63 ST N,Tulsa,OK,Unknown,3327.66,LT 16 BK 4,R IMP,142,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 53825-02-02-01310 at 7 E 63 ST N, Tulsa, has high extraction confidence, complete address, and strong property clarity, with a relatively low bid cost of 3327.66. Rule-based scoring (6.9) classifies it as a Strong Manual Review Candidate. However, development verification shows no clear match and low confidence, so development is not a positive factor. Data confidence is high, but the ZIP is unknown and surrounding value and crime risk are unknown, keeping this in a manual-review, not automatic-investment, category.",Unknown ZIP; no verified development match; surrounding value signal unknown; crime risk estimate unknown.,Exact ZIP code; surrounding property value context; crime/safety indicators; physical condition of the improvement; title and lien status beyond tax auction; zoning and allowable uses.,"Manually confirm the precise location and ZIP for 7 E 63 ST N, verify zoning and current improvement condition, and pull surrounding sales/value data to assess whether the low bid cost of 3327.66 aligns with local market and risk profile.",High,Unknown,Unknown,Not provided in input file
42,29650-03-07-03460,Unknown,1338 E 54 ST N,Tulsa,OK,Unknown,3327.66,LT 13 BLK 2,R IMP,76,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 29650-03-07-03460 at 1338 E 54 ST N, Tulsa, has a bid cost of 3327.66 and is classified as R IMP with strong property clarity, complete address, and high overall data confidence. Rule-based scoring of 6.9 designates it as a Strong Manual Review Candidate. However, development matching shows No Clear Match with low confidence, so no verified development upside is included in the assessment.",ZIP is unknown; no verified development or surrounding value signal; crime risk and neighborhood context are unknown; owner listed as Unknown may complicate title or notification history.,Exact ZIP code; surrounding value and comp information; crime risk; condition and occupancy of the improvement; confirmation of title status and any additional liens beyond tax; detailed neighborhood context.,"Manually confirm parcel details with county records (including ZIP, structure type/condition, and any additional liens), then review neighborhood and sales/rent comps around 1338 E 54 ST N to determine whether the low bid cost justifies further pursuit.",High,Unknown,Unknown,Not provided in input file
43,46465-92-11-31880,Unknown,2034 S PHOENIX AV W,Tulsa,OK,Unknown,3329.0,LT 30 BLK 1,R IMP,134,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 2034 S PHOENIX AV W (Parcel ID 46465-92-11-31880) has high data confidence, complete address quality, and strong property clarity, supporting a solid rule-based score of 6.9. The bid cost of 3329.0 is flagged as a strong price signal, making it a potentially appealing low-entry-cost residential improvement opportunity. However, the development verification shows No Clear Match with low confidence, so no external development upside can be relied upon. Given the combination of strong internal signals and lack of verified development benefits, it fits best as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown, limiting precise location and comp analysis; no clear or verified nearby development to support appreciation; crime risk and surrounding value signals are unknown; owner name is unknown, which may complicate title or notification review.","Exact ZIP code; detailed neighborhood and surrounding value context; crime risk indicators; property condition and any existing structures details beyond R IMP classification; title status and any liens beyond tax; confirmation of utilities, access, and zoning specifics.","Manually confirm the precise location and ZIP for 2034 S PHOENIX AV W, then pull local sales/assessed values and any code enforcement or condition reports to validate that the low bid cost of 3329.0 reflects opportunity rather than hidden issues.",High,Unknown,Unknown,Not provided in input file
44,12175-92-03-02290,Unknown,3034 W CAMERON ST N,Tulsa,OK,Unknown,3366.33,LT 1 BLK 11,R IMP,28,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 3034 W CAMERON ST N in Tulsa (Parcel ID 12175-92-03-02290) has a low bid cost of 3366.33, complete address data, strong property clarity, and high overall data confidence, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, development verification shows No Clear Match with low confidence, so no development premium is justified.","ZIP is unknown; no verified nearby development or area project; surrounding value and crime risk are both unknown, limiting value and risk assessment.",Exact ZIP code; surrounding property value context; crime/safety profile; physical condition of the residential improvement; occupancy status; any liens or encumbrances beyond the tax issue.,"Confirm the precise ZIP and neighborhood context, then pull local sales/assessed values and any available condition/occupancy data for 3034 W CAMERON ST N to determine realistic resale or rental potential absent development-driven upside.",High,Unknown,Unknown,Not provided in input file
45,07675-02-13-01590,Unknown,4013 N ELGIN AV E,Tulsa,OK,Unknown,3368.32,PT LT 12 BLK 6 BEG SWC LT 12 NE159.80 NW61.30,R IMP,16,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 4013 N ELGIN AV E, Tulsa (R IMP) has a relatively low bid cost of 3368.32 and strong property/address clarity, with high overall data confidence. Rule-based scoring (6.9) and the Strong Manual Review Candidate category indicate it merits deeper review. However, the development match is No Clear Match with low confidence, so no development premium is justified.",ZIP is unknown; no verified nearby development or area project; surrounding value and crime risk are unknown.,Exact ZIP code; surrounding property value context; crime/safety indicators; physical condition of improvements; occupancy status; title and lien details beyond tax status.,"Manually confirm the precise ZIP and neighborhood context for 4013 N ELGIN AV E, then pull local sales/rent comps and property condition information to determine whether the low bid cost aligns with area values and risks.",High,Unknown,Unknown,Not provided in input file
46,04550-03-32-02430,Unknown,813 N FLORENCE AV E,Tulsa,OK,Unknown,3368.99,LT 4 BLK 1,R IMP,10,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 813 N FLORENCE AV E, Tulsa (ID 04550-03-32-02430) has high data confidence, complete address quality, and strong property clarity, supporting a solid rule-based score of 6.9. The bid cost of 3368.99 is flagged as a strong signal, suggesting potentially favorable entry pricing. However, development verification shows No Clear Match with low confidence, so no external project-driven upside is confirmed. These factors together justify classifying it as a Strong Manual Review Candidate rather than a clear good or bad investment.","ZIP is unknown, limiting precise location and comp analysis; no verified development match or surrounding value signal; crime risk and surrounding value are unknown; owner name is listed as Unknown, which may complicate title or research.","Exact ZIP code; any verified nearby development or redevelopment plans; surrounding value indicators (comparable values, neighborhood trajectory); crime risk estimates; more detailed property characteristics beyond R IMP classification.","Manually confirm the precise location and ZIP for 813 N FLORENCE AV E, then pull local sales/assessed value and neighborhood data to validate whether the low bid cost of 3368.99 reflects genuine discount or hidden risk, and check for any unrecorded or informal development activity not captured in the current development match.",High,Unknown,Unknown,Not provided in input file
47,26250-92-05-02570,Unknown,4914 W 1 ST S,Tulsa,OK,Unknown,3382.32,LT-3-BLK-2,R IMP,61,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 26250-92-05-02570 at 4914 W 1 ST S, Tulsa, OK shows a low bid cost of 3382.32 and is classified as R IMP with strong property clarity and a complete address, supported by high extraction/data confidence. However, the development match status is No Clear Match with low development confidence, so no verified development upside is counted despite the strong rule-based score of 6.9.",ZIP is unknown; no verified development match or surrounding value signal; crime risk and surrounding value are unknown; geocode confidence only medium.,"Exact ZIP code; detailed property characteristics (size, condition, improvements); surrounding market value indicators; crime risk data; any confirmed nearby development projects.","Manually confirm the full address and ZIP, pull county records for property characteristics and improvement details, and review local market comps and planning/zoning information to assess value and risk without assuming any development upside.",High,Unknown,Unknown,Not provided in input file
48,29625-02-36-21010,Unknown,419 E NEWTON PL N,Tulsa,OK,Unknown,3388.99,E25 LT 16 & ALL LT 17 & S5 VAC ALLEY ADJ TO NL,R IMP,75,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 29625-02-36-21010 at 419 E NEWTON PL N (R IMP) has a low bid cost of 3388.99 and a strong rule-based score of 6.9 with high data/extraction confidence and complete address quality, but the development match status is No Clear Match with low confidence, so it is best treated as a strong manual review candidate rather than a confirmed good investment.","ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown.",Exact ZIP code; surrounding property value context; crime/safety context; physical condition of improvements; title or lien complications beyond tax status.,"Manually confirm ZIP and neighborhood context, check local sales and rent comps for similar residential improvements near 419 E NEWTON PL N, and verify any nearby development or zoning changes that could affect value.",High,Unknown,Unknown,Not provided in input file
49,10450-03-19-50550,Unknown,3128 N TROOST PL E,Tulsa,OK,Unknown,3389.11,LT 6 BLK 1,R HS IMP,22,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The property at parcel 10450-03-19-50550 (3128 N TROOST PL E, Tulsa) is a residential house improvement (R HS IMP) with a relatively low bid cost of 3389.11. Rule-based scoring labels it a Strong Manual Review Candidate with strong property clarity, complete address, and high overall data confidence. However, the development verification shows No Clear Match and low confidence, so no development premium is justified. These factors support manual review but not an automatic investment classification.","ZIP code is unknown; no verified nearby development or area project; surrounding value and crime risk are both unknown, limiting context for valuation and risk assessment.",Exact ZIP code; surrounding property value context; crime risk profile; physical condition of the improvement; occupancy status; title issues or liens beyond the tax auction; any local development or zoning changes not captured in the current data.,"Confirm the precise ZIP and neighborhood context for 3128 N TROOST PL E, then obtain on-the-ground or recent imagery-based condition assessment and basic comp/value checks to see if the low bid cost of 3389.11 is supported by local market values and risk profile.",High,Unknown,Unknown,Not provided in input file
50,28025-93-11-08980,Unknown,1942 S 74 AV E,Tulsa,OK,Unknown,3392.99,LT 7 BLK 8,R HS IMP,67,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 1942 S 74 AV E, Tulsa (R HS IMP) has a relatively low bid cost of 3392.99, high extraction/data confidence, complete address, and strong property clarity, which supports a solid rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development verification shows no clear match and low confidence, so no development premium is justified. The unknown ZIP and only medium geocode confidence add location uncertainty, keeping this from being categorized as a Good Investment at this stage.",Unknown ZIP and some location uncertainty; no verified nearby development or documented upside; surrounding value and crime risk are both unknown.,"Exact ZIP code; more precise location context (neighborhood, surrounding values); any verified nearby development or infrastructure projects; condition and occupancy status of the residential improvements.","Manually confirm the exact parcel location and ZIP via county GIS or assessor records, then check neighborhood comps and property condition to determine whether the low bid cost of 3392.99 aligns with local land and improved-residential values.",High,Unknown,Unknown,Not provided in input file
